Price,SPY
2019-12-20,295.59100341796875
2019-12-23,296.0425720214844
2019-12-24,296.05181884765625
2019-12-26,297.6277160644531
2019-12-27,297.5539245605469
2019-12-30,295.91351318359375
2019-12-31,296.6323547363281
2020-01-02,299.4065246582031
2020-01-03,297.1392517089844
2020-01-06,298.2728576660156
2020-01-07,297.4342346191406
2020-01-08,299.0193176269531
2020-01-09,301.04693603515625
2020-01-10,300.1805725097656
2020-01-13,302.24505615234375
2020-01-14,301.78424072265625
2020-01-15,302.4661560058594
2020-01-16,304.9822998046875
2020-01-17,305.9315185546875
2020-01-21,305.33245849609375
2020-01-22,305.3692932128906
2020-01-23,305.719482421875
2020-01-24,303.0007019042969
2020-01-27,298.1438293457031
2020-01-28,301.26812744140625
2020-01-29,301.01934814453125
2020-01-30,301.9962463378906
2020-01-31,296.51251220703125
2020-02-03,298.7151794433594
2020-02-04,303.26800537109375
2020-02-05,306.7701110839844
2020-02-06,307.8023986816406
2020-02-07,306.1618957519531
2020-02-10,308.4474792480469
2020-02-11,308.98211669921875
2020-02-12,310.9727783203125
2020-02-13,310.6409606933594
2020-02-14,311.1387023925781
2020-02-18,310.3367919921875
2020-02-19,311.82073974609375
2020-02-20,310.53961181640625
2020-02-21,307.3415832519531
2020-02-24,297.14849853515625
2020-02-25,288.144287109375
2020-02-26,287.08441162109375
2020-02-27,274.1910400390625
2020-02-28,273.0389709472656
2020-03-02,284.8632507324219
2020-03-03,276.7069396972656
2020-03-04,288.3377990722656
2020-03-05,278.7528991699219
2020-03-06,274.14483642578125
2020-03-09,252.73561096191406
2020-03-10,265.8133850097656
2020-03-11,252.85540771484375
2020-03-12,228.6629180908203
2020-03-13,248.21051025390625
2020-03-16,221.0503692626953
2020-03-17,232.98538208007812
2020-03-18,221.18862915039062
2020-03-19,221.65866088867188
2020-03-20,212.1064453125
2020-03-23,206.68325805664062
2020-03-24,225.40940856933594
2020-03-25,228.78387451171875
2020-03-26,242.14247131347656
2020-03-27,234.9300994873047
2020-03-30,242.55966186523438
2020-03-31,238.94419860839844
2020-04-01,228.19052124023438
2020-04-02,233.4561309814453
2020-04-03,230.08172607421875
2020-04-06,245.5354461669922
2020-04-07,245.78578186035156
2020-04-08,254.03634643554688
2020-04-09,257.90216064453125
2020-04-13,255.54747009277344
2020-04-14,263.084228515625
2020-04-15,257.4942321777344
2020-04-16,258.7364501953125
2020-04-17,265.72637939453125
2020-04-20,261.0449523925781
2020-04-21,253.11859130859375
2020-04-22,258.7364501953125
2020-04-23,258.7178649902344
2020-04-24,262.3240966796875
2020-04-27,266.1064147949219
2020-04-28,264.8827209472656
2020-04-29,271.81707763671875
2020-04-30,269.2862548828125
2020-05-01,262.1572265625
2020-05-04,262.8803405761719
2020-05-05,265.30914306640625
2020-05-06,263.5107116699219
2020-05-07,266.6904602050781
2020-05-08,271.10321044921875
2020-05-11,271.1588134765625
2020-05-12,265.75421142578125
2020-05-13,261.0541076660156
2020-05-14,264.17828369140625
2020-05-15,265.39263916015625
2020-05-18,273.476318359375
2020-05-19,270.6674499511719
2020-05-20,275.2655334472656
2020-05-21,273.3651428222656
2020-05-22,273.8843078613281
2020-05-26,277.2586975097656
2020-05-27,281.38409423828125
2020-05-28,280.8648376464844
2020-05-29,282.1163330078125
2020-06-01,283.2566833496094
2020-06-02,285.60205078125
2020-06-03,289.4029235839844
2020-06-04,288.6427917480469
2020-06-05,296.0404968261719
2020-06-08,299.61883544921875
2020-06-09,297.3847961425781
2020-06-10,295.725341796875
2020-06-11,278.6771545410156
2020-06-12,282.0143737792969
2020-06-15,284.647216796875
2020-06-16,290.1259460449219
2020-06-17,288.9208984375
2020-06-18,289.0321044921875
2020-06-19,287.38031005859375
2020-06-22,289.2239074707031
2020-06-23,290.555419921875
2020-06-24,283.1437072753906
2020-06-25,286.17919921875
2020-06-26,279.3819580078125
2020-06-29,283.48822021484375
2020-06-30,287.1195373535156
2020-07-01,289.13079833984375
2020-07-02,290.7229919433594
2020-07-06,295.2109680175781
2020-07-07,292.166259765625
2020-07-08,294.40093994140625
2020-07-09,292.7249450683594
2020-07-10,295.7138366699219
2020-07-13,293.1531982421875
2020-07-14,296.9522399902344
2020-07-15,299.680419921875
2020-07-16,298.693359375
2020-07-17,299.559326171875
2020-07-20,301.9801940917969
2020-07-21,302.6226806640625
2020-07-22,304.34527587890625
2020-07-23,300.7138977050781
2020-07-24,298.7772521972656
2020-07-27,300.9559631347656
2020-07-28,299.04718017578125
2020-07-29,302.72515869140625
2020-07-30,301.6450500488281
2020-07-31,304.0287170410156
2020-08-03,306.142333984375
2020-08-04,307.32489013671875
2020-08-05,309.23370361328125
2020-08-06,311.30072021484375
2020-08-07,311.524169921875
2020-08-10,312.45526123046875
2020-08-11,309.8760681152344
2020-08-12,314.1964416503906
2020-08-13,313.6284484863281
2020-08-14,313.6378479003906
2020-08-17,314.6341552734375
2020-08-18,315.3138427734375
2020-08-19,314.0010070800781
2020-08-20,314.97857666015625
2020-08-21,316.0959777832031
2020-08-24,319.29901123046875
2020-08-25,320.41632080078125
2020-08-26,323.62872314453125
2020-08-27,324.3364562988281
2020-08-28,326.4313659667969
2020-08-31,325.2489013671875
2020-09-01,328.3122863769531
2020-09-02,333.0610046386719
2020-09-03,321.5989074707031
2020-09-04,318.9731750488281
2020-09-08,310.2579040527344
2020-09-09,316.3846130371094
2020-09-10,310.8910217285156
2020-09-11,311.04931640625
2020-09-14,315.146240234375
2020-09-15,316.7384948730469
2020-09-16,315.48150634765625
2020-09-17,312.7066955566406
2020-09-18,309.1065979003906
2020-09-21,305.6663513183594
2020-09-22,308.7794494628906
2020-09-23,301.6185607910156
2020-09-24,302.4225769042969
2020-09-25,307.311767578125
2020-09-28,312.4159240722656
2020-09-29,310.7145690917969
2020-09-30,313.07037353515625
2020-10-01,315.0802307128906
