Price,MSFT
Ticker,MSFT
Date,
2019-11-08,138.37481689453125
2019-11-11,138.51702880859375
2019-11-12,139.42713928222656
2019-11-13,139.65469360351562
2019-11-14,140.36566162109375
2019-11-15,142.1764373779297
2019-11-18,142.5271759033203
2019-11-19,142.57461547851562
2019-11-20,142.32725524902344
2019-11-21,142.19410705566406
2019-11-22,142.2987823486328
2019-11-25,143.85882568359375
2019-11-26,144.6197967529297
2019-11-27,144.8957061767578
2019-11-29,144.00149536132812
2019-12-02,142.26071166992188
2019-12-03,142.03236389160156
2019-12-04,142.5460968017578
2019-12-05,142.6221466064453
2019-12-06,144.3534698486328
2019-12-09,143.98245239257812
2019-12-10,143.76368713378906
2019-12-11,144.30592346191406
2019-12-12,145.77081298828125
2019-12-13,146.99795532226562
2019-12-16,147.94920349121094
2019-12-17,147.1501922607422
2019-12-18,146.84573364257812
2019-12-19,148.1204376220703
2019-12-20,149.7375946044922
2019-12-23,149.7375946044922
2019-12-24,149.70904541015625
2019-12-26,150.93617248535156
2019-12-27,151.2120361328125
2019-12-30,149.90879821777344
2019-12-31,150.01341247558594
2020-01-02,152.79116821289062
2020-01-03,150.88861083984375
2020-01-06,151.2786102294922
2020-01-07,149.89927673339844
2020-01-08,152.28695678710938
2020-01-09,154.1894989013672
2020-01-10,153.47604370117188
2020-01-13,155.32144165039062
2020-01-14,154.2274932861328
2020-01-15,155.22637939453125
2020-01-16,158.0706024169922
2020-01-17,158.95529174804688
2020-01-21,158.38453674316406
2020-01-22,157.62350463867188
2020-01-23,158.59381103515625
2020-01-24,156.99571228027344
2020-01-27,154.37020874023438
2020-01-28,157.39520263671875
2020-01-29,159.8494415283203
2020-01-30,164.35841369628906
2020-01-31,161.9326934814453
2020-02-03,165.8804473876953
2020-02-04,171.34068298339844
2020-02-05,171.13136291503906
2020-02-06,174.67958068847656
2020-02-07,174.9268798828125
2020-02-10,179.50247192382812
2020-02-11,175.4500732421875
2020-02-12,175.70697021484375
2020-02-13,174.7556915283203
2020-02-14,176.3157501220703
2020-02-18,178.1041259765625
2020-02-19,178.63832092285156
