Date,NVDA
2018-09-25,6.648514270782471
2018-09-26,6.611607074737549
2018-09-27,6.623495101928711
2018-09-28,6.960864067077637
2018-10-01,7.167445659637451
2018-10-02,7.096107482910156
2018-10-03,7.10230016708374
2018-10-04,6.9180121421813965
2018-10-05,6.684430122375488
2018-10-08,6.583120346069336
2018-10-09,6.577424049377441
2018-10-10,6.085739612579346
2018-10-11,5.824169635772705
2018-10-12,6.1067938804626465
2018-10-15,5.830359935760498
2018-10-16,6.089208602905273
2018-10-17,6.020594596862793
2018-10-18,5.933157920837402
2018-10-19,5.676540374755859
2018-10-22,5.727316379547119
2018-10-23,5.4756550788879395
2018-10-24,4.939384460449219
2018-10-25,5.148195266723633
2018-10-26,4.911642074584961
2018-10-29,4.59780740737915
2018-10-30,5.028308868408203
2018-10-31,5.222258567810059
