Price,TLT
2018-09-26,97.2338638305664
2018-09-27,97.30007934570312
2018-09-28,97.04354858398438
2018-10-01,96.33111572265625
2018-10-02,96.919921875
2018-10-03,95.236328125
2018-10-04,94.56452941894531
2018-10-05,93.75176239013672
2018-10-08,93.43660736083984
2018-10-09,94.38209533691406
2018-10-10,94.12496948242188
2018-10-11,95.26952362060547
2018-10-12,94.93778991699219
2018-10-15,94.89630889892578
2018-10-16,95.11190795898438
2018-10-17,94.54793548583984
2018-10-18,94.51478576660156
2018-10-19,94.30745697021484
2018-10-22,94.18304443359375
2018-10-23,94.48162078857422
2018-10-24,95.19487762451172
2018-10-25,94.79676818847656
2018-10-26,95.3690414428711
2018-10-29,95.15338897705078
2018-10-30,94.68063354492188
2018-10-31,94.19959259033203
2018-11-01,94.28690338134766
